x,y
-10.0,-5703.164292349438
-9.959919839679358,-5669.273317386176
-9.919839679358718,-5564.838261828887
-9.879759519038076,-5456.43433483227
-9.839679358717435,-5480.155256253803
-9.799599198396793,-5416.5128846100415
-9.759519038076153,-5262.6986030459075
-9.719438877755511,-5240.633540669836
-9.67935871743487,-5240.315924411714
-9.639278557114228,-5128.040094038196
-9.599198396793588,-5117.151903509458
-9.559118236472946,-5056.565529181263
-9.519038076152304,-4960.962118974708
-9.478957915831664,-5008.986672686267
-9.438877755511022,-4940.310285263269
-9.39879759519038,-4823.3978770015465
-9.358717434869739,-4787.619605609507
-9.318637274549099,-4663.433742601483
-9.278557114228457,-4667.186951664704
-9.238476953907815,-4635.510219065509
-9.198396793587175,-4435.18959754924
-9.158316633266534,-4463.803637336452
-9.118236472945892,-4393.645051148536
-9.07815631262525,-4413.227430952182
-9.03807615230461,-4314.63770774788
-8.997995991983968,-4227.759049971538
-8.957915831663327,-4237.19759275262
-8.917835671342685,-4107.659942311528
-8.877755511022045,-4103.725970428658
-8.837675350701403,-4035.9782479166493
-8.797595190380761,-3999.626815756852
-8.75751503006012,-3825.5219692962273
-8.71743486973948,-3867.8496702265256
-8.677354709418838,-3869.541891430804
-8.637274549098196,-3725.4513093304226
-8.597194388777556,-3777.981689779667
-8.557114228456914,-3657.2940907031357
-8.517034068136272,-3716.9534190801096
-8.47695390781563,-3637.0448054580474
-8.43687374749499,-3512.8890474746995
-8.396793587174349,-3438.334471085201
-8.356713426853707,-3419.6422298378434
-8.316633266533067,-3387.3711232584465
-8.276553106212425,-3350.4452490232775
-8.236472945891784,-3363.5388771638145
-8.196392785571142,-3280.2471281974267
-8.156312625250502,-3222.346491622316
-8.11623246492986,-3101.933640658164
-8.076152304609218,-3093.4976684173853
-8.036072144288577,-3155.1311220563266
-7.9959919839679365,-3007.4852161102813
-7.955911823647295,-3000.061666225881
-7.915831663326653,-2972.177695612386
-7.875751503006012,-2865.6757987478145
-7.835671342685371,-2803.039697292342
-7.7955911823647295,-2766.755838756889
-7.755511022044088,-2814.4090716714327
-7.715430861723447,-2747.433413036274
-7.675350701402806,-2675.3285377765233
-7.635270541082164,-2603.4257528969133
-7.595190380761523,-2636.8634742887334
-7.555110220440882,-2583.27798604397
-7.515030060120241,-2590.78865083003
-7.474949899799599,-2557.1437567911166
-7.434869739478958,-2418.9513848968986
-7.394789579158317,-2354.3907204235315
-7.354709418837675,-2388.807137606255
-7.314629258517034,-2298.4108285812713
-7.274549098196393,-2294.2615148793616
-7.234468937875752,-2308.728215658871
-7.19438877755511,-2222.902497024831
-7.154308617234469,-2128.9397043571244
-7.114228456913828,-2172.86936445839
-7.074148296593187,-2058.4477524107256
